rn:R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
rn:R01602	D-glucose 1-epimerase; alpha-D-Glucose <=> beta-D-Glucose
rn:R01604	3-Oxopropanoate:NAD+ oxidoreductase; 3-Oxopropanoate + NAD+ + H2O <=> Malonate + NADH + H+
rn:R01607	3-Oxopropanoate:NADP+ oxidoreductase; 3-Oxopropanoate + NADP+ + H2O <=> Malonate + NADPH + H+
rn:R01608	3-hydroxypropanoate:NAD+ oxidoreductase; 3-Hydroxypropanoate + NAD+ <=> 3-Oxopropanoate + NADH + H+
rn:R01609	3-aci-Nitropropanoate:oxygen oxidoreductase; 3-Oxopropanoate + Nitrite + Hydrogen peroxide <=> 3-aci-Nitropropanoate + Oxygen + H2O
rn:R01611	3-Oxopropanoate hydro-lyase; 3-Oxopropanoate <=> Propynoate + H2O
rn:R01613	Malonyl-CoA:4-Coumaroyl-CoA malonyltransferase(cyclizing); p-Coumaroyl-CoA + 3 Malonyl-CoA <=> Naringenin chalcone + 4 CoA + 3 CO2
rn:R01614	Malonyl-CoA:4-coumaroyl-CoA malonyltransferase (cyclizing); 3 Malonyl-CoA + p-Coumaroyl-CoA <=> 4 CoA + Resveratrol + 4 CO2
rn:R01615	4-Hydroxycinnamyl aldehyde:NADP+ oxidoreductase (CoA-hydroxycinnamoylating); 4-Hydroxycinnamyl aldehyde + CoA + NADP+ <=> p-Coumaroyl-CoA + NADPH + H+
rn:R01616	4-Coumarate:CoA ligase (AMP-forming); ATP + 4-Coumarate + CoA <=> AMP + Diphosphate + p-Coumaroyl-CoA
rn:R01617	4-Coumaroyl-CoA:agmatine N4-coumaroyltransferase; p-Coumaroyl-CoA + Agmatine <=> p-Coumaroylagmatine + CoA
rn:R01618	APS:ATP adenylyltransferase; Adenylyl sulfate + ATP <=> Sulfate + P1,P4-Bis(5'-adenosyl)tetraphosphate
rn:R01619	Adenylyl-sulfate:ammonia adenylyltransferase; Adenylyl sulfate + Ammonia <=> Adenosine 5'-phosphoramidate + Sulfate
rn:R01620	acetyl-phosphate:L-lysine N6-acetyltransferase; Acetyl phosphate + L-Lysine <=> Orthophosphate + N6-Acetyl-L-lysine
rn:R01621	D-xylulose 5-phosphate D-glyceraldehyde-3-phosphate-lyase (adding phosphate; acetyl-phosphate-forming); D-Xylulose 5-phosphate + Orthophosphate <=> Acetyl phosphate + D-Glyceraldehyde 3-phosphate + H2O
rn:R01623	[Acyl-carrier-protein] 4'-pantetheine-phosphohydrolase; Acyl-carrier protein + H2O <=> Pantetheine 4'-phosphate + Apo-[acyl-carrier-protein]
rn:R01624	acetyl-CoA:[acyl-carrier-protein] S-acetyltransferase; Acetyl-CoA + Acyl-carrier protein <=> CoA + Acetyl-[acyl-carrier protein]
rn:R01625	CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase; CoA + Apo-[acyl-carrier-protein] <=> Adenosine 3',5'-bisphosphate + Acyl-carrier protein
rn:R01626	Malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase; Malonyl-CoA + Acyl-carrier protein <=> CoA + Malonyl-[acyl-carrier protein]
rn:R01627	3-dehydroshikimate hydro-lyase; 3-Dehydroshikimate <=> 3,4-Dihydroxybenzoate + H2O
rn:R01628	3-hydroxybenzoate,NADPH:oxygen oxidoreductase (4-hydroxylating); 3-Hydroxybenzoate + Oxygen + NADPH + H+ <=> 3,4-Dihydroxybenzoate + NADP+ + H2O
rn:R01629	protocatechuate,NADH:oxygen oxidoreductase (1-hydroxylating, decarboxylating); 3,4-Dihydroxybenzoate + Oxygen + NADH + H+ <=> Benzene-1,2,4-triol + CO2 + NAD+ + H2O
rn:R01630	protocatechuate,NADPH:oxygen oxidoreductase (1-hydroxylating, decarboxylating); 3,4-Dihydroxybenzoate + Oxygen + NADPH + H+ <=> Benzene-1,2,4-triol + CO2 + NADP+ + H2O
rn:R01631	Protocatechuate:oxygen 3,4-oxidoreductase (decyclizing); 3,4-Dihydroxybenzoate + Oxygen <=> 3-Carboxy-cis,cis-muconate
rn:R01632	protocatechuate:oxygen 4,5-oxidoreductase (decyclizing); 3,4-Dihydroxybenzoate + Oxygen <=> 4-Carboxy-2-hydroxymuconate semialdehyde
rn:R01633	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate:NAD+ oxidoreductase; (3S,4R)-3,4-Dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate + NAD+ <=> 3,4-Dihydroxybenzoate + CO2 + NADH + H+
rn:R01634	3,4-dihydroxyphthalate carboxy-lyase (3,4-dihydroxybenzoate-forming); 3,4-Dihydroxyphthalate <=> 3,4-Dihydroxybenzoate + CO2
rn:R01635	4,5-Dihydroxyphthalate carboxy-lyase (3,4-dihydroxybenzoate-forming); 4,5-Dihydroxyphthalate <=> 3,4-Dihydroxybenzoate + CO2
rn:R01636	4-sulfobenzoate,NADH:oxygen oxidoreductase (3,4-hydroxylating, sulfite-forming); 4-Sulfobenzoate + Oxygen + NADH + H+ <=> 3,4-Dihydroxybenzoate + Sulfite + NAD+
rn:R01637	3,4-Dihydroxybenzoate <=> Gallate
rn:R01639	ATP:D-xylulose 5-phosphotransferase; ATP + D-Xylulose <=> ADP + D-Xylulose 5-phosphate
rn:R01641	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase; Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Ribose 5-phosphate + D-Xylulose 5-phosphate
rn:R01644	4-hydroxybutanoate:NAD+ oxidoreductase; 4-Hydroxybutanoic acid + NAD+ <=> Succinate semialdehyde + NADH + H+
rn:R01645	4-hydroxy-2-oxo-heptandioate succinate-semialdehyde-lyase (pyruvate-forming); 4-Hydroxy-2-oxo-heptanedioate <=> Succinate semialdehyde + Pyruvate
rn:R01647	2,4-dihydroxyhept-2-enedioate succinate-semialdehyde-lyase (pyruvate-forming); Succinate semialdehyde + Pyruvate <=> 2,4-Dihydroxyhept-2-enedioate
rn:R01648	4-aminobutanoate:2-oxoglutarate aminotransferase; 4-Aminobutanoate + 2-Oxoglutarate <=> Succinate semialdehyde + L-Glutamate
rn:R01649	2-(acetamidomethylene)succinate amidohydrolase (deaminating, decarboxylating); 2-(Acetamidomethylene)succinate + 2 H2O <=> Acetate + Succinate semialdehyde + Ammonia + CO2
rn:R01650	Succinate semialdehyde + Hydrogen cyanide + Ammonia <=> gamma-Amino-gamma-cyanobutanoate + H2O
rn:R01651	4-methyl-2-oxopentanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating); 4-Methyl-2-oxopentanoate + CoA + NAD+ <=> 3-Methylbutanoyl-CoA + CO2 + NADH + H+
rn:R01652	4-Methyl-2-oxopentanoate + CO2 <=> (2S)-2-Isopropyl-3-oxosuccinate
rn:R01654	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming); ATP + 10-Formyltetrahydrofolate + L-Glutamate <=> ADP + Orthophosphate + (6R)-10-Formyltetrahydropteroyldiglutamate
rn:R01655	5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing); 5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+
rn:R01657	Dimethylallyl-diphosphate:L-tryptophan dimethylallyltransferase; Dimethylallyl diphosphate + L-Tryptophan <=> Diphosphate + 4-(3-Methylbut-2-enyl)-L-tryptophan
rn:R01658	Dimethylallyl-diphosphate:isopentenyl-diphosphate dimethylallyltranstransferase; Dimethylallyl diphosphate + Isopentenyl diphosphate <=> Diphosphate + Geranyl diphosphate
rn:R01659	Dimethylallyl-diphosphate:isopentenyl-diphosphate dimethylallylcistransferase; Dimethylallyl diphosphate + Isopentenyl diphosphate <=> Diphosphate + Neryl diphosphate
rn:R01660	3-phospho-D-glyceroyl-phosphate:alpha-D-glucose-1-phosphate 6-phosphotransferase; 3-Phospho-D-glyceroyl phosphate + D-Glucose 1-phosphate <=> 3-Phospho-D-glycerate + alpha-D-Glucose 1,6-bisphosphate
rn:R01662	3-phospho-D-glycerate 1,2-phosphomutase; 3-Phospho-D-glyceroyl phosphate <=> 2,3-Bisphospho-D-glycerate
rn:R01663	dCMP aminohydrolase; dCMP + H2O <=> dUMP + Ammonia
rn:R01664	2'-deoxycytidine 5'-monophosphate phosphohydrolase; dCMP + H2O <=> Deoxycytidine + Orthophosphate
rn:R01665	ATP:dCMP phosphotransferase; ATP + dCMP <=> ADP + dCDP
rn:R01666	ATP:deoxycitidine 5'-phosphotransferase; ATP + Deoxycytidine <=> ADP + dCMP
rn:R01667	dCDP nucleotidohydrolase; dCDP + H2O <=> dCMP + Orthophosphate
rn:R01668	dCTP nucleotidohydrolase; deoxycytidine 5'-triphosphate diphosphohydrolase; dCTP + H2O <=> dCMP + Diphosphate
rn:R01669	5,10-methylenetetrahydrofolate:deoxycytidylate 5-hydroxymethyltransferase; 5,10-Methylenetetrahydrofolate + H2O + dCMP <=> Tetrahydrofolate + 5-Hydroxymethyldeoxycytidylate
rn:R01670	5,10-Methylenetetrahydrofolate:dCMP C-methyltransferase; 5,10-Methylenetetrahydrofolate + dCMP <=> Dihydrofolate + Deoxy-5-methylcytidylate
rn:R01676	Guanine aminohydrolase; Guanine + H2O <=> Xanthine + Ammonia
rn:R01677	Guanosine ribohydrolase; Guanosine + H2O <=> Guanine + D-Ribose
rn:R01678	Lactose galactohydrolase; Lactose + H2O <=> alpha-D-Glucose + D-Galactose
rn:R01680	Lactose:(acceptor) 3-oxidoreductase; Lactose + Acceptor <=> 3-Ketolactose + Reduced acceptor
rn:R01681	hypotaurine:NAD+ oxidoreductase; Hypotaurine + NAD+ + H2O <=> Taurine + NADH + H+
rn:R01682	3-Sulfo-L-alanine carboxy-lyase (taurine-forming); L-Cysteate <=> Taurine + CO2
rn:R01683	tauropine:NAD+ oxidoreductase (taurine-forming); Tauropine + NAD+ + H2O <=> Taurine + Pyruvate + NADH + H+
rn:R01684	taurine:2-oxoglutarate aminotransferase; Taurine + 2-Oxoglutarate <=> Sulfoacetaldehyde + L-Glutamate
rn:R01685	taurine:ferricytochrome-c oxidoreductase (deaminating); Taurine + H2O + 2 Ferricytochrome c <=> Sulfoacetaldehyde + Ammonia + 2 Ferrocytochrome c + 2 H+
rn:R01686	L-arginine:taurine amidinotransferase; Taurine + L-Arginine <=> Taurocyamine + L-Ornithine
rn:R01687	(5-L-glutamyl)-peptide:taurine 5-glutamyltransferase; (5-L-Glutamyl)-peptide + Taurine <=> Peptide + 5-L-Glutamyl-taurine
rn:R01688	ATP:butanoate 1-phosphotransferase; ATP + Butanoic acid <=> ADP + Butanoylphosphate
rn:R01689	butanoate:NAD+ delta2-oxidoreductase; Butanoic acid + NAD+ <=> 2-Butenoate + NADH + H+
rn:R01690	5'-butyrylphosphoinosine butyrylhydrolase; 5'-Butyrylphosphoinosine + H2O <=> IMP + Butanoic acid
rn:R01694	L-Sorbose:NADP+ 5-oxidoreductase; L-Sorbose + NADP+ <=> 5-Dehydro-D-fructose + NADPH + H+
rn:R01695	L-Sorbose:oxygen 5-oxidoreductase; L-Sorbose + Oxygen <=> 5-Dehydro-D-fructose + Hydrogen peroxide
rn:R01696	L-Sorbose:acceptor 5-oxidoreductase; L-Sorbose + Acceptor <=> 5-Dehydro-D-fructose + Reduced acceptor
rn:R01697	D-Sorbitol:(acceptor) 1-oxidoreductase; D-Sorbitol + Acceptor <=> L-Sorbose + Reduced acceptor
rn:R01698	Dihydrolipoamide:NAD+ oxidoreductase; Dihydrolipoamide + NAD+ <=> Lipoamide + NADH + H+
rn:R01699	pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating); Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2
rn:R01700	2-oxoglutarate:[dihydrolipoyllysine-residue succinyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-succinylating); 2-Oxoglutarate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine + CO2
rn:R01701	3-methyl-2-oxobutanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating); 3-Methyl-2-oxobutanoic acid + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine + CO2
rn:R01702	4-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating); 4-Methyl-2-oxopentanoate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine + CO2
rn:R01703	Hexadecanoate:hydrogen-peroxide oxidoreductase; Hexadecanoic acid + 2 Hydrogen peroxide <=> Pentadecanal + CO2 + 3 H2O
rn:R01704	Palmitaldehyde:NAD+ oxidoreductase; Hexadecanal + NAD+ + H2O <=> Hexadecanoic acid + NADH + H+
rn:R01705	Palmitoyl-protein hydrolase; Hexadecanoic acid + Protein <=> Palmitoyl-protein + H2O
rn:R01706	hexadecanoyl-[acyl-carrier protein] hydrolase; Hexadecanoyl-[acp] + H2O <=> Acyl-carrier protein + Hexadecanoic acid
rn:R01707	pyridoxal:NAD+ 4-oxidoreductase; Pyridoxal + NAD+ <=> 4-Pyridoxolactone + NADH + H+
rn:R01708	Pyridoxine:NADP+ 4-oxidoreductase; Pyridoxine + NADP+ <=> Pyridoxal + NADPH + H+
rn:R01709	pyridoxal:oxygen 4-oxidoreductase; Pyridoxal + Oxygen + H2O <=> 4-Pyridoxate + Hydrogen peroxide
rn:R01710	Pyridoxamine:oxygen oxidoreductase (deaminating); Pyridoxamine + H2O + Oxygen <=> Pyridoxal + Ammonia + Hydrogen peroxide
rn:R01711	pyridoxine:oxygen oxidoreductase (deaminating); Pyridoxine + Oxygen <=> Pyridoxal + Hydrogen peroxide
rn:R01712	pyridoxamine:pyruvate aminotransferase; Pyridoxamine + Pyruvate <=> Pyridoxal + L-Alanine
rn:R01713	Pyridoxamine:oxaloacetate aminotransferase; Pyridoxamine + Oxaloacetate <=> Pyridoxal + L-Aspartate
rn:R01714	5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming); 5-O-(1-Carboxyvinyl)-3-phosphoshikimate <=> Chorismate + Orthophosphate
rn:R01715	Chorismate pyruvatemutase; Chorismate <=> Prephenate
rn:R01716	chorismate:L-glutamine aminotransferase; Chorismate + L-Glutamine <=> 4-Amino-4-deoxychorismate + L-Glutamate
rn:R01717	chorismate hydroxymutase; Chorismate <=> Isochorismate
rn:R01718	Isomaltose 6-alpha-D-glucanohydrolase; Isomaltose + H2O <=> alpha-D-Glucose + D-Glucose
rn:R01720	nicotinate:NADP+ 6-oxidoreductase (hydroxylating); Nicotinate + NADP+ + H2O <=> 6-Hydroxynicotinate + NADPH + H+
rn:R01721	S-Adenosyl-L-methionine:nicotinate N-methyltransferase; S-Adenosyl-L-methionine + Nicotinate <=> S-Adenosyl-L-homocysteine + N-Methylnicotinate
rn:R01722	UDP-glucose:nicotinate N-glucosyltransferase; UDP-glucose + Nicotinate <=> UDP + N-Glucosylnicotinate
rn:R01723	Nicotinate + Glycine + ATP <=> Nicotinurate + AMP + Diphosphate
rn:R01724	5-phospho-alpha-D-ribose 1-diphosphate:nicotinate ligase (ADP, diphosphate-forming); Nicotinate D-ribonucleotide + Diphosphate + ADP + Orthophosphate <=> Nicotinate + 5-Phospho-alpha-D-ribose 1-diphosphate + ATP + H2O + H+
rn:R01725	Nicotinate <=> 2-Methyleneglutarate
rn:R01728	Prephenate:NAD+ oxidoreductase(decarboxylating); Prephenate + NAD+ <=> 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADH + H+
rn:R01730	Prephenate:NADP+ oxidoreductase(decarboxylating); Prephenate + NADP+ <=> 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADPH + H+
rn:R01731	L-arogenate:2-oxoglutarate aminotransferase; Oxaloacetate + L-Arogenate <=> L-Aspartate + Prephenate
rn:R01732	Riboflavin hydrolase; Riboflavin + H2O <=> Ribitol + Lumichrome
rn:R01734	Dimethylbenzimidazole <=> Riboflavin
rn:R01735	(R)-Lactaldehyde:NAD+ 2-oxidoreductase; (R)-Lactaldehyde + NAD+ + H2O <=> (R)-Lactate + NADH + H+
rn:R01736	(R)-S-Lactoylglutathione hydrolase; (R)-S-Lactoylglutathione + H2O <=> Glutathione + (R)-Lactate
rn:R01737	ATP:D-Gluconate 6-phosphotransferase; ATP + D-Gluconic acid <=> ADP + 6-Phospho-D-gluconate
rn:R01738	D-Gluconate:NAD+ 5-oxidoreductase; D-Gluconic acid + NAD+ <=> 5-Dehydro-D-gluconate + NADH + H+
rn:R01739	D-gluconate:NADP+ 2-oxidoreductase; D-Gluconic acid + NADP+ <=> 2-Keto-D-gluconic acid + NADPH + H+
rn:R01740	D-Gluconate:NADP+ 5-oxidoreductase; D-Gluconic acid + NADP+ <=> 5-Dehydro-D-gluconate + NADPH + H+
rn:R01741	D-Gluconate:(acceptor) 2-oxidoreductase; D-Gluconic acid + FAD <=> 2-Keto-D-gluconic acid + FADH2
rn:R01742	D-Gluconate:acceptor 2-oxidoreductase; D-Gluconic acid + Acceptor <=> 2-Keto-D-gluconic acid + Reduced acceptor
rn:R01745	(R)-Glycerate:NAD+ oxidoreductase; D-Glycerate + NAD+ <=> 2-Hydroxy-3-oxopropanoate + NADH + H+
rn:R01747	(R)-Glycerate:NADP+ oxidoreductase; D-Glycerate + NADP+ <=> 2-Hydroxy-3-oxopropanoate + NADPH + H+
rn:R01748	D-Glycerate-2-phosphate phosphohydrolase; 2-Phospho-D-glycerate + H2O <=> D-Glycerate + Orthophosphate
rn:R01749	D-Glycerate:NAD+ oxidoreductase (carboxylating); D-Glycerate + NAD+ + CO2 <=> 2-Hydroxy-3-oxosuccinate + NADH + H+
rn:R01750	D-Glycerate:NADP+ oxidoreductase (carboxylating); D-Glycerate + NADP+ + CO2 <=> 2-Hydroxy-3-oxosuccinate + NADPH + H+
rn:R01751	(R,R)-tartrate carboxy-lyase (D-glycerate-forming); (R,R)-Tartaric acid <=> D-Glycerate + CO2
rn:R01752	D-Glyceraldehyde:NAD+ oxidoreductase; D-Glyceraldehyde + NAD+ + H2O <=> D-Glycerate + NADH + H+
rn:R01754	ATP:L-arabinose 1-phosphotransferase; ATP + L-Arabinose <=> ADP + beta-L-Arabinose 1-phosphate
rn:R01757	L-arabinose:NAD+ 1-oxidoreductase; L-Arabinose + NAD+ <=> L-Arabinono-1,4-lactone + NADH + H+
rn:R01758	L-Arabitol:NAD+ 1-oxidoreductase; L-Arabitol + NAD+ <=> L-Arabinose + NADH + H+
rn:R01759	L-Arabitol:NADP+ 1-oxidoreductase; L-Arabitol + NADP+ <=> L-Arabinose + NADPH + H+
rn:R01760	beta-L-Arabinoside arabinohydrolase; beta-L-Arabinoside + H2O <=> Alcohol + L-Arabinose
rn:R01761	L-Arabinose aldose-ketose-isomerase; L-Arabinose <=> L-Ribulose
rn:R01762	alpha-L-arabinan arabinofuranohydrolase; Arabinan + H2O <=> Arabinan + L-Arabinose
rn:R01763	Benzyl alcohol:NAD+ oxidoreductase; Benzyl alcohol + NAD+ <=> Benzaldehyde + NADH + H+
rn:R01764	benzoylformate carboxy-lyase (benzaldehyde-forming); alpha-Oxo-benzeneacetic acid <=> Benzaldehyde + CO2
rn:R01766	L-threo-3-Phenylserine benzaldehyde-lyase (glycine-forming); L-threo-3-Phenylserine <=> Glycine + Benzaldehyde
rn:R01767	mandelonitrile benzaldehyde-lyase (cyanide-forming); Mandelonitrile <=> Hydrogen cyanide + Benzaldehyde
rn:R01768	hypoxanthine:NAD+ oxidoreductase; Hypoxanthine + NAD+ + H2O <=> Xanthine + NADH + H+
rn:R01769	Hypoxanthine:oxygen oxidoreductase; Hypoxanthine + Oxygen + H2O <=> Xanthine + Hydrogen peroxide
rn:R01770	Inosine ribohydrolase; Inosine + H2O <=> Hypoxanthine + D-Ribose
rn:R01771	ATP:L-homoserine O-phosphotransferase; ATP + L-Homoserine <=> ADP + O-Phospho-L-homoserine
rn:R01773	L-Homoserine:NAD+ oxidoreductase; L-Homoserine + NAD+ <=> L-Aspartate 4-semialdehyde + NADH + H+
rn:R01775	L-homoserine:NADP+ oxidoreductase; L-Homoserine + NADP+ <=> L-Aspartate 4-semialdehyde + NADPH + H+
rn:R01776	Acetyl-CoA:L-homoserine O-acetyltransferase; Acetyl-CoA + L-Homoserine <=> CoA + O-Acetyl-L-homoserine
rn:R01777	Succinyl-CoA:L-homoserine O-succinyltransferase; Succinyl-CoA + L-Homoserine <=> CoA + O-Succinyl-L-homoserine
rn:R01778	(3S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase; (3S)-3-Hydroxyacyl-CoA + NAD+ <=> 3-Oxoacyl-CoA + NADH + H+
rn:R01779	(3R)-3-hydroxyacyl-CoA:NADP+ oxidoreductase; (3R)-3-Hydroxyacyl-CoA + NADP+ <=> 3-Oxoacyl-CoA + NADPH + H+
rn:R01780	Succinyl-CoA:3-oxo-acid CoA-transferase; Succinyl-CoA + 3-Oxo acid <=> Succinate + 3-Oxoacyl-CoA
rn:R01781	1,2-Ethanediol:NAD+ oxidoreductase; Ethylene glycol + NAD+ <=> Glycolaldehyde + NADH + H+
rn:R01782	2-dehydro-3-deoxy-D-pentonate glycolaldehyde-lyase (pyruvate-forming); 2-Dehydro-3-deoxy-D-xylonate <=> Pyruvate + Glycolaldehyde
rn:R01784	2-dehydro-3-deoxy-L-pentonate glycolaldehyde-lyase (pyruvate-forming); 2-Dehydro-3-deoxy-L-arabinonate <=> Pyruvate + Glycolaldehyde
rn:R01785	L-xylulose 1-phosphate glycolaldehyde-lyase (glycerone-phosphate-forming); L-Xylulose 1-phosphate <=> Glycerone phosphate + Glycolaldehyde
rn:R01786	ATP:alpha-D-glucose 6-phosphotransferase; ATP + alpha-D-Glucose <=> ADP + alpha-D-Glucose 6-phosphate
rn:R01787	D-Glucitol:NADP+ 1-oxidoreductase; D-Sorbitol + NADP+ <=> alpha-D-Glucose + NADPH + H+
rn:R01788	alpha-D-Glucose 6-phosphate phosphohydrolase; alpha-D-Glucose 6-phosphate + H2O <=> alpha-D-Glucose + Orthophosphate
rn:R01790	1,4-alpha-D-Glucan glucohydrolase; Starch + H2O <=> D-Glucose + Starch
rn:R01791	Dextrin 6-alpha-D-glucanohydrolase; Dextrin + H2O <=> D-Glucose + Dextrin
rn:R01793	5,6,7,8-tetrahydrobiopterin:NAD+ oxidoreductase; Dihydrobiopterin + NADH + H+ <=> Tetrahydrobiopterin + NAD+
rn:R01794	5,6,7,8-tetrahydrobiopterin:NADP+ oxidoreductase; Dihydrobiopterin + NADPH + H+ <=> Tetrahydrobiopterin + NADP+
rn:R01795	L-Phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating); Tetrahydrobiopterin + L-Phenylalanine + Oxygen <=> Dihydrobiopterin + L-Tyrosine + H2O
rn:R01797	CDP-diacylglycerol phosphatidylhydrolase; CDP-diacylglycerol + H2O <=> CMP + Phosphatidate
rn:R01798	Arachidonyl-CoA:CDPacylglycerol O-arachidonyltransferase; Arachidonyl-CoA + CDP-acylglycerol <=> CoA + CDP-diacylglycerol
rn:R01799	CTP:phosphatidate cytidyltransferase; CTP + Phosphatidate <=> Diphosphate + CDP-diacylglycerol
rn:R01800	CDP-diacylglycerol:L-serine 3-phosphatidyltransferase; CDP-diacylglycerol + L-Serine <=> CMP + Phosphatidylserine
rn:R01801	CDP-diacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase; CDP-diacylglycerol + sn-Glycerol 3-phosphate <=> CMP + Phosphatidylglycerophosphate
rn:R01802	CDP-diacylglycerol:myo-inositol 3-phosphatidyltransferase; CDP-diacylglycerol + myo-Inositol <=> CMP + 1-Phosphatidyl-D-myo-inositol
rn:R01803	N-acetylneuraminate,ferrocytochrome-b5:oxygen oxidoreductase (N-acetyl-hydroxylating); N-Acetylneuraminate + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> N-Glycoloyl-neuraminate + 2 Ferricytochrome b5 + H2O
rn:R01804	phosphoenolpyruvate:N-acetyl-D-mannosamine C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming); N-Acetylneuraminate + Orthophosphate <=> N-Acetyl-D-mannosamine + Phosphoenolpyruvate + H2O
rn:R01805	N-Acetylneuraminate 9-phosphate phosphohydrolase; N-Acetylneuraminate 9-phosphate + H2O <=> N-Acetylneuraminate + Orthophosphate
rn:R01806	Acetyl-CoA:N-acetylneuraminate 4-O-acetyltransferase; Acetyl-CoA + N-Acetylneuraminate <=> CoA + N-Acetyl-4-O-acetylneuraminate
rn:R01807	Acetyl-CoA:N-acetylneuraminate 7-O-acetyltransferase; Acetyl-CoA + N-Acetylneuraminate <=> CoA + N-Acetyl-7-O-acetylneuraminate
rn:R01808	Acetyl-CoA:N-acetylneuraminate 9-O-acetyltransferase; Acetyl-CoA + N-Acetylneuraminate <=> CoA + N-Acetyl-9-O-acetylneuraminate
rn:R01810	N-Acyl-O-acetylneuraminate O-acetylesterase; N-Acetyl-O-acetylneuraminate + H2O <=> N-Acetylneuraminate + Acetate
rn:R01811	N-Acetylneuraminate pyruvate-lyase (N-acetyl-D-mannosamine-forming); N-Acetylneuraminate <=> N-Acetyl-D-mannosamine + Pyruvate
rn:R01812	5,6,7,8-Tetrahydrobiopterin:NADP+ oxidoreductase; Tetrahydrobiopterin + 2 NADP+ <=> Biopterin + 2 NADPH + 2 H+
rn:R01813	tetrahydrobiopterin:NADP+ oxidoreductase; Tetrahydrobiopterin + NADP+ <=> 6-Lactoyl-5,6,7,8-tetrahydropterin + NADPH + H+
rn:R01814	L-Tryptophan,tetrahydrobiopterin:oxygen oxidoreductase (5-hydroxylating); Tetrahydrobiopterin + L-Tryptophan + Oxygen <=> 5-Hydroxy-L-tryptophan + Dihydrobiopterin + H2O
rn:R01815	L-Tyrosine,tetrahydrobiopterin:oxygen oxidoreductase (3-hydroxylating); Tetrahydrobiopterin + L-Tyrosine + Oxygen <=> 3,4-Dihydroxy-L-phenylalanine + Dihydrobiopterin + H2O
rn:R01816	Anthranilate,tetrahydrobiopterin:oxygen oxidoreductase (3-hydroxylating); Tetrahydrobiopterin + Anthranilate + Oxygen <=> 3-Hydroxyanthranilate + Dihydrobiopterin + H2O
rn:R01817	D-mannitol-1-phosphate:NADP+ 6-oxidoreductase; D-Mannitol 1-phosphate + NADP+ <=> D-Mannose 6-phosphate + NADPH + H+
rn:R01818	D-mannose 6-phosphate 1,6-phosphomutase; D-Mannose 6-phosphate <=> D-Mannose 1-phosphate
rn:R01819	D-mannose-6-phosphate aldose-ketose-isomerase; D-Mannose 6-phosphate <=> beta-D-Fructose 6-phosphate
